clip,family,tag,cov,conf
q01_bench,bar_hub,hub_btrk_b,1.0,0.873
q01_bench,bar_hub,hub_btrk_l,1.0,0.887
q01_bench,bar_hub,hub_smoke,1.0,0.795
q01_bench,bar_hub,hub_v1,1.0,0.864
q01_bench,bar_hub,hub_v2b,1.0,0.907
q01_bench,bar_hub,hub_v2l,1.0,0.906
q01_bench,bar_hub,hub_pwai,0.8,0.507
q01_bench,plates,plt_pw,1.0,0.948
q01_bench,plates,plt_prod,1.0,0.678
q01_bench,plates,plt_20b,0.667,0.428
q01_bench,plates,plt_20l,1.0,0.931
q01_bench,plates,plt_only,1.0,0.678
q01_bench,plates,plt_pwl,0.1,0.4
q01_bench,keypoints,kp_old,1.0,0.931
q01_bench,keypoints,kp_misc,1.0,0.927
q01_bench,keypoints,kp_skel17,1.0,0.849
q01_bench,keypoints,kp_v3b,1.0,0.852
q01_bench,keypoints,kp_v3l,1.0,0.887
q01_bench,keypoints,kp_20sep,1.0,0.882
q01_bench,segmentation,seg_pw,1.0,0.614
q01_bench,segmentation,seg_v1,1.0,0.941
q01_bench,segmentation,seg_v2b,1.0,0.967
q01_bench,segmentation,seg_v2l,1.0,0.973
q01_bench,lift,lift_prod,1.0,1.0
q01_bench,lift,lift_newv,1.0,0.996
q01_bench,view,view_v2,1.0,0.904
q01_bench,weight,weight_m,0.0,0.0
q02_bench,bar_hub,hub_btrk_b,0.975,0.492
q02_bench,bar_hub,hub_btrk_l,0.992,0.496
q02_bench,bar_hub,hub_smoke,0.967,0.47
q02_bench,bar_hub,hub_v1,1.0,0.754
q02_bench,bar_hub,hub_v2b,1.0,0.889
q02_bench,bar_hub,hub_v2l,1.0,0.887
q02_bench,bar_hub,hub_pwai,1.0,0.92
q02_bench,plates,plt_pw,1.0,0.94
q02_bench,plates,plt_prod,0.367,0.282
q02_bench,plates,plt_20b,1.0,0.822
q02_bench,plates,plt_20l,1.0,0.931
q02_bench,plates,plt_only,0.367,0.282
q02_bench,plates,plt_pwl,0.4,0.356
q02_bench,keypoints,kp_old,1.0,0.896
q02_bench,keypoints,kp_misc,1.0,0.895
q02_bench,keypoints,kp_skel17,1.0,0.883
q02_bench,keypoints,kp_v3b,1.0,0.819
q02_bench,keypoints,kp_v3l,1.0,0.852
q02_bench,keypoints,kp_20sep,1.0,0.884
q02_bench,segmentation,seg_pw,1.0,0.388
q02_bench,segmentation,seg_v1,1.0,0.954
q02_bench,segmentation,seg_v2b,1.0,0.639
q02_bench,segmentation,seg_v2l,1.0,0.806
q02_bench,lift,lift_prod,1.0,1.0
q02_bench,lift,lift_newv,1.0,1.0
